Kp,Ki,Kd,fitness
0.21,0.001,0.06,177.0
0.19,0.01,0.06,266.0
0.6,0.001,0.06,358.0
0.37,0.001,0.06,204.0
0.6,0.001,0.06,385.0
0.6,0.001,0.06,350.0
0.6,0.01,0.06,373.0
0.37,0.01,0.06,300.0
0.37,0.001,0.06,282.0
0.21,0.001,0.06,220.0
0.21,0.01,0.06,293.0
0.2,0.0,0.06,362.0
0.21,0.001,0.06,250.0
0.21,0.01,0.06,264.0
0.21,0.001,0.06,327.0
0.21,0.01,0.06,253.0
0.21,0.001,0.06,233.0
0.37,0.01,0.06,309.0
0.37,0.001,0.06,235.0
0.19,0.01,0.06,203.0
0.37,0.0,0.06,363.0
0.21,0.01,0.06,302.0
0.19,0.01,0.06,309.0
0.49,0.0,0.07,329.0
0.21,0.01,0.06,288.0
0.71,0.001,0.06,349.0
0.37,0.01,0.06,288.0
0.19,0.01,0.06,286.0
0.37,0.01,0.06,356.0
0.21,0.01,0.06,224.0
0.21,0.01,0.06,250.0
0.19,0.01,0.06,264.0
0.21,0.01,0.06,306.0
0.37,0.01,0.06,296.0
0.19,0.01,0.06,265.0
0.21,0.01,0.06,277.0
0.37,0.01,0.06,266.0
0.49,0.01,0.06,366.0
0.19,0.01,0.07,188.0
0.37,0.01,0.06,273.0
0.19,0.01,0.06,244.0
0.37,0.01,0.06,236.0
